city,latitude,longitude,timestamp,aqi,pm2_5,pm10,no2,o3,co,so2,nh3,aqi_category,cluster_id,new_category,bmkg_normalized
Jakarta,-6.2088,106.8456,2026-04-04T08:51:27.543264,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-04T08:51:27.550670,1,10.66,12.76,2.43,55.2,241.14,0.93,1.05,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-04T08:51:27.557027,1,6.01,7.31,0.76,46.75,170.0,0.27,0.42,Baik,1,Baru_Baik,Baru_Baik
Medan,3.5952,98.6722,2026-04-04T08:51:27.564347,1,0.5,0.75,0.13,10.2,95.86,0.02,0.58,Baik,1,Baru_Baik,Baru_Baik
Semarang,-6.9932,110.4203,2026-04-04T08:51:27.572089,1,11.16,13.43,2.89,54.4,304.19,2.29,0.94,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-04T08:51:27.584752,1,1.9,3.2,0.14,38.06,87.16,0.11,0.08,Baik,1,Baru_Baik,Baru_Baik
Palembang,-2.9761,104.7754,2026-04-04T08:51:27.592484,1,5.55,6.02,0.52,44.8,251.93,0.17,0.18,Baik,1,Baru_Baik,Baru_Baik
Tangerang,-6.1702,106.6402,2026-04-04T08:51:27.600347,2,16.88,19.04,2.03,62.3,251.94,0.87,2.04,Sedang,1,Baru_Baik,Baru_Sedang
Depok,-6.4025,106.7942,2026-04-04T08:51:27.607428,1,8.07,9.44,0.78,40.47,134.75,0.35,0.75,Baik,1,Baru_Baik,Baru_Baik
Bekasi,-6.2383,106.9756,2026-04-04T08:51:27.617224,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Jakarta,-6.2088,106.8456,2026-04-04T08:51:30.331737,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-04T08:51:30.339229,1,10.66,12.76,2.43,55.2,241.14,0.93,1.05,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-04T08:51:30.346342,1,6.01,7.31,0.76,46.75,170.0,0.27,0.42,Baik,1,Baru_Baik,Baru_Baik
Medan,3.5952,98.6722,2026-04-04T08:51:30.354028,1,0.5,0.75,0.13,10.2,95.86,0.02,0.58,Baik,1,Baru_Baik,Baru_Baik
Semarang,-6.9932,110.4203,2026-04-04T08:51:30.361563,1,11.16,13.43,2.89,54.4,304.19,2.29,0.94,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-04T08:51:30.369565,1,1.9,3.2,0.14,38.06,87.16,0.11,0.08,Baik,1,Baru_Baik,Baru_Baik
Palembang,-2.9761,104.7754,2026-04-04T08:51:30.377595,1,5.55,6.02,0.52,44.8,251.93,0.17,0.18,Baik,1,Baru_Baik,Baru_Baik
Tangerang,-6.1702,106.6402,2026-04-04T08:51:30.386685,2,16.88,19.04,2.03,62.3,251.94,0.87,2.04,Sedang,1,Baru_Baik,Baru_Sedang
Depok,-6.4025,106.7942,2026-04-04T08:51:30.395583,1,8.07,9.44,0.78,40.47,134.75,0.35,0.75,Baik,1,Baru_Baik,Baru_Baik
Bekasi,-6.2383,106.9756,2026-04-04T08:51:30.404663,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Jakarta,-6.2088,106.8456,2026-04-04T08:51:33.240366,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-04T08:51:33.247816,1,10.66,12.76,2.43,55.2,241.14,0.93,1.05,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-04T08:51:33.254300,1,6.01,7.31,0.76,46.75,170.0,0.27,0.42,Baik,1,Baru_Baik,Baru_Baik
Medan,3.5952,98.6722,2026-04-04T08:51:33.262363,1,0.5,0.75,0.13,10.2,95.86,0.02,0.58,Baik,1,Baru_Baik,Baru_Baik
Semarang,-6.9932,110.4203,2026-04-04T08:51:33.269572,1,11.16,13.43,2.89,54.4,304.19,2.29,0.94,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-04T08:51:33.279250,1,1.9,3.2,0.14,38.06,87.16,0.11,0.08,Baik,1,Baru_Baik,Baru_Baik
Palembang,-2.9761,104.7754,2026-04-04T08:51:33.288388,1,5.55,6.02,0.52,44.8,251.93,0.17,0.18,Baik,1,Baru_Baik,Baru_Baik
Tangerang,-6.1702,106.6402,2026-04-04T08:51:33.295923,2,16.88,19.04,2.03,62.3,251.94,0.87,2.04,Sedang,1,Baru_Baik,Baru_Sedang
Depok,-6.4025,106.7942,2026-04-04T08:51:33.303345,1,8.07,9.44,0.78,40.47,134.75,0.35,0.75,Baik,1,Baru_Baik,Baru_Baik
Bekasi,-6.2383,106.9756,2026-04-04T08:51:33.311068,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Jakarta,-6.2088,106.8456,2026-04-04T08:51:36.060368,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-04T08:51:36.069333,1,10.66,12.76,2.43,55.2,241.14,0.93,1.05,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-04T08:51:36.076974,1,6.01,7.31,0.76,46.75,170.0,0.27,0.42,Baik,1,Baru_Baik,Baru_Baik
Medan,3.5952,98.6722,2026-04-04T08:51:36.086049,1,0.5,0.75,0.13,10.2,95.86,0.02,0.58,Baik,1,Baru_Baik,Baru_Baik
Semarang,-6.9932,110.4203,2026-04-04T08:51:36.093991,1,11.16,13.43,2.89,54.4,304.19,2.29,0.94,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-04T08:51:36.101509,1,1.9,3.2,0.14,38.06,87.16,0.11,0.08,Baik,1,Baru_Baik,Baru_Baik
Palembang,-2.9761,104.7754,2026-04-04T08:51:36.108252,1,5.55,6.02,0.52,44.8,251.93,0.17,0.18,Baik,1,Baru_Baik,Baru_Baik
Tangerang,-6.1702,106.6402,2026-04-04T08:51:36.117238,2,16.88,19.04,2.03,62.3,251.94,0.87,2.04,Sedang,1,Baru_Baik,Baru_Sedang
Depok,-6.4025,106.7942,2026-04-04T08:51:36.123424,1,8.07,9.44,0.78,40.47,134.75,0.35,0.75,Baik,1,Baru_Baik,Baru_Baik
Bekasi,-6.2383,106.9756,2026-04-04T08:51:36.130734,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Jakarta,-6.2088,106.8456,2026-04-04T08:51:38.832094,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-04T08:51:38.838814,1,10.66,12.76,2.43,55.2,241.14,0.93,1.05,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-04T08:51:38.845703,1,6.01,7.31,0.76,46.75,170.0,0.27,0.42,Baik,1,Baru_Baik,Baru_Baik
Medan,3.5952,98.6722,2026-04-04T08:51:38.852507,1,0.5,0.75,0.13,10.2,95.86,0.02,0.58,Baik,1,Baru_Baik,Baru_Baik
Semarang,-6.9932,110.4203,2026-04-04T08:51:38.858731,1,11.16,13.43,2.89,54.4,304.19,2.29,0.94,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-04T08:51:38.866602,1,1.9,3.2,0.14,38.06,87.16,0.11,0.08,Baik,1,Baru_Baik,Baru_Baik
Palembang,-2.9761,104.7754,2026-04-04T08:51:38.873083,1,5.55,6.02,0.52,44.8,251.93,0.17,0.18,Baik,1,Baru_Baik,Baru_Baik
Tangerang,-6.1702,106.6402,2026-04-04T08:51:38.881561,2,16.88,19.04,2.03,62.3,251.94,0.87,2.04,Sedang,1,Baru_Baik,Baru_Sedang
Depok,-6.4025,106.7942,2026-04-04T08:51:38.888297,1,8.07,9.44,0.78,40.47,134.75,0.35,0.75,Baik,1,Baru_Baik,Baru_Baik
Bekasi,-6.2383,106.9756,2026-04-04T08:51:38.898487,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Jakarta,-6.2088,106.8456,2026-04-04T08:51:41.564452,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-04T08:51:41.572357,1,10.66,12.76,2.43,55.2,241.14,0.93,1.05,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-04T08:51:41.580340,1,6.01,7.31,0.76,46.75,170.0,0.27,0.42,Baik,1,Baru_Baik,Baru_Baik
Medan,3.5952,98.6722,2026-04-04T08:51:41.589579,1,0.5,0.75,0.13,10.2,95.86,0.02,0.58,Baik,1,Baru_Baik,Baru_Baik
Semarang,-6.9932,110.4203,2026-04-04T08:51:41.596932,1,11.16,13.43,2.89,54.4,304.19,2.29,0.94,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-04T08:51:41.603721,1,1.9,3.2,0.14,38.06,87.16,0.11,0.08,Baik,1,Baru_Baik,Baru_Baik
Palembang,-2.9761,104.7754,2026-04-04T08:51:41.611491,1,5.55,6.02,0.52,44.8,251.93,0.17,0.18,Baik,1,Baru_Baik,Baru_Baik
Tangerang,-6.1702,106.6402,2026-04-04T08:51:41.619465,2,16.88,19.04,2.03,62.3,251.94,0.87,2.04,Sedang,1,Baru_Baik,Baru_Sedang
Depok,-6.4025,106.7942,2026-04-04T08:51:41.627079,1,8.07,9.44,0.78,40.47,134.75,0.35,0.75,Baik,1,Baru_Baik,Baru_Baik
Bekasi,-6.2383,106.9756,2026-04-04T08:51:41.634043,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Jakarta,-6.2088,106.8456,2026-04-04T08:51:44.356478,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-04T08:51:44.367701,1,10.66,12.76,2.43,55.2,241.14,0.93,1.05,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-04T08:51:44.377344,1,6.01,7.31,0.76,46.75,170.0,0.27,0.42,Baik,1,Baru_Baik,Baru_Baik
Medan,3.5952,98.6722,2026-04-04T08:51:44.392630,1,0.5,0.75,0.13,10.2,95.86,0.02,0.58,Baik,1,Baru_Baik,Baru_Baik
Semarang,-6.9932,110.4203,2026-04-04T08:51:44.404380,1,11.16,13.43,2.89,54.4,304.19,2.29,0.94,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-04T08:51:44.413750,1,1.9,3.2,0.14,38.06,87.16,0.11,0.08,Baik,1,Baru_Baik,Baru_Baik
Palembang,-2.9761,104.7754,2026-04-04T08:51:44.421896,1,5.55,6.02,0.52,44.8,251.93,0.17,0.18,Baik,1,Baru_Baik,Baru_Baik
Tangerang,-6.1702,106.6402,2026-04-04T08:51:44.431697,2,16.88,19.04,2.03,62.3,251.94,0.87,2.04,Sedang,1,Baru_Baik,Baru_Sedang
Depok,-6.4025,106.7942,2026-04-04T08:51:44.439400,1,8.07,9.44,0.78,40.47,134.75,0.35,0.75,Baik,1,Baru_Baik,Baru_Baik
